nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
13;4.02334;0.49169724;170.254;766.56;27.13;5.78E-04;295.07;0.246;0.488;381.48;318.16;39.93;-8.2295;1647.20;0.0140;-1.02E-05;0.2653;0.2268;0.2572;117.2700;-7609.20;-40.1070;1.8664E-02;-2.8127E-06;143.178;1.1585;-2.4627E-03;2.3349E-06;0.1476;-3.1350E-05;-1.5437E-07;81.463;0.380;65.854;1.2222;4.18
13;3.79121;0.42393467;170.254;770.78;27.13;5.78E-04;295.07;0.244;0.493;383.15;338.14;39.99;-8.4666;1694.00;0.0144;-1.03E-05;0.2633;0.2213;0.2684;27.3380;-4362.50;-6.0166;0.0000E+00;0.0000E+00;120.958;1.2467;-2.6143E-03;2.3985E-06;0.1461;-2.6017E-05;-1.5688E-07;77.222;0.380;63.777;1.2222;3.36
13;3.79111;0.42390588;170.254;767.96;27.13;5.78E-04;295.07;0.245;0.493;382.04;370.15;39.99;-8.3409;1667.00;0.0142;-1.03E-05;0.2579;0.2096;0.2917;18.8160;-3614.60;-3.3968;0.0000E+00;0.0000E+00;80.315;1.4884;-3.0817E-03;2.7042E-06;0.1430;-1.6184E-05;-1.6599E-07;76.913;0.380;63.695;1.2222;3.78
13;4.02294;0.49158086;170.254;766.56;27.13;5.78E-04;295.07;0.246;0.488;381.48;318.16;39.93;-8.2295;1647.20;0.0140;-1.02E-05;0.2652;0.2284;0.2563;117.2700;-7609.20;-40.1070;1.8664E-02;-2.8127E-06;143.178;1.1585;-2.4627E-03;2.3349E-06;0.1476;-3.1350E-05;-1.5437E-07;81.463;0.380;65.854;1.2222;4.40
13;3.79139;0.42398757;170.254;766.55;27.13;5.78E-04;295.07;0.246;0.493;381.48;338.14;39.94;-8.2772;1653.50;0.0141;-1.02E-05;0.2948;0.2443;0.2857;23.5840;-4017.50;-4.8653;0.0000E+00;0.0000E+00;118.188;1.2634;-2.6619E-03;2.4487E-06;0.1460;-2.5800E-05;-1.5885E-07;76.758;0.380;63.654;1.2222;3.31
13;3.55680;0.35550432;170.254;773.61;27.13;5.78E-04;295.07;0.243;0.493;384.82;338.14;39.99;-8.5904;1720.60;0.0146;-1.04E-05;0.2948;0.2449;0.2857;18.8720;-3645.00;-3.4105;0.0000E+00;0.0000E+00;122.779;1.2357;-2.5832E-03;2.3659E-06;0.1462;-2.6156E-05;-1.5560E-07;77.531;0.380;63.858;1.2222;3.29
13;2.57015;0.06748125;170.254;772.44;27.56;5.78E-04;295.07;0.248;0.488;383.71;270.16;40.12;-8.5279;1705.40;0.0145;-1.04E-05;0.2647;0.2262;0.2587;144.8800;-8399.70;-51.2190;2.7910E-02;-5.5943E-06;205.250;0.5761;-1.2466E-03;1.4467E-06;0.1512;-4.3367E-05;-1.4201E-07;82.141;0.380;63.965;1.2222;6.17
13;2.33898;0.00000000;170.254;771.45;27.56;5.78E-04;295.07;0.248;0.488;383.15;264.69;40.12;-8.4847;1696.10;0.0144;-1.03E-05;0.2674;0.2299;0.2527;131.8000;-7957.40;-46.1010;2.4187E-02;-4.5747E-06;206.250;0.5681;-1.2316E-03;1.4396E-06;0.1516;-4.4604E-05;-1.4141E-07;82.034;0.380;65.772;1.2222;4.74
13;5.53088;0.93177811;170.254;779.72;26.71;5.78E-04;294.56;0.238;0.486;388.15;287.15;40.03;-8.8122;1774.90;0.0148;-1.04E-05;0.2948;0.2453;0.2857;31.5040;-4773.70;-7.2892;0.0000E+00;0.0000E+00;201.107;0.6036;-1.2971E-03;1.4657E-06;0.1505;-3.9164E-05;-1.4308E-07;78.393;0.380;63.651;1.2222;3.58
13;5.53146;0.93194726;170.254;776.90;26.71;5.78E-04;294.56;0.239;0.495;386.48;338.14;39.92;-8.6915;1748.70;0.0147;-1.04E-05;0.2948;0.2434;0.2857;25.1950;-4209.20;-5.3541;0.0000E+00;0.0000E+00;121.900;1.2351;-2.5744E-03;2.3491E-06;0.1464;-2.6121E-05;-1.5455E-07;78.083;0.380;63.571;1.2222;2.25
