nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
9;1.01693;0.00000000;120.194;638.38;32.00;4.40E-04;273.17;0.265;0.346;303.15;173.67;41.28;-6.9452;1127.60;0.0139;-1.23E-05;0.2735;0.2527;0.2913;39.8220;-3697.80;-10.9620;8.7429E-11;2.6959E-06;123.471;0.6197;-1.6883E-03;2.1608E-06;0.1752;-1.1160E-04;-1.5393E-07;60.107;0.397;63.487;1.2764;16.00
9;4.24699;0.86511703;120.194;664.53;34.54;4.31E-04;278.87;0.269;0.366;324.26;247.79;41.12;-14.3160;2225.60;0.0295;-2.25E-05;0.2906;0.2703;0.2608;2.7492;-2642.80;3.6120;-1.0213E-02;5.0553E-06;89.589;0.8750;-2.1986E-03;2.3108E-06;0.1719;-6.5602E-05;-2.0421E-07;58.787;0.345;65.040;1.2583;10.10
9;4.50009;0.93290411;120.194;649.13;32.32;4.35E-04;276.31;0.261;0.376;318.71;229.38;41.10;-8.4686;1361.70;0.0173;-1.46E-05;0.2797;0.2595;0.2772;2.1667;-2631.80;4.0350;-1.1776E-02;6.0956E-06;90.157;0.8599;-2.2344E-03;2.4758E-06;0.1751;-9.6021E-05;-1.7329E-07;57.823;0.342;63.374;1.2605;8.90
10;5.96644;1.00000000;134.221;660.00;29.70;4.92E-04;272.81;0.266;0.266;333.15;215.27;41.48;-6.6458;1131.90;0.0126;-1.08E-05;0.2783;0.2610;0.2857;41.4520;-3902.70;-11.4100;2.4230E-10;2.2517E-06;113.801;0.8154;-2.1047E-03;2.3922E-06;0.1457;-4.0639E-05;-1.6565E-07;64.314;0.464;61.234;1.3242;3.84
10;2.38308;0.27381358;134.221;664.54;29.51;4.97E-04;270.06;0.265;0.276;325.37;197.72;41.51;-8.0972;1354.30;0.0158;-1.30E-05;0.2756;0.2601;0.2857;61.5900;-4509.30;-19.5220;6.9865E-03;7.8205E-14;171.011;0.4381;-1.0523E-03;1.4911E-06;0.1965;-2.6964E-04;8.9286E-08;66.188;0.472;61.160;1.3111;6.00
10;1.03195;0.00000000;134.221;660.55;28.87;4.97E-04;270.06;0.261;0.392;344.26;185.30;41.53;-7.2536;1207.10;0.0143;-1.23E-05;0.2704;0.2532;0.2896;49.9690;-4398.10;-14.3520;4.2054E-11;3.4379E-06;140.161;0.7201;-1.8916E-03;2.3069E-06;0.1799;-1.3729E-04;-1.2460E-07;61.981;0.365;64.900;1.3630;12.50
10;4.56041;0.71506098;134.221;657.00;29.30;4.85E-04;276.74;0.260;0.341;319.82;209.44;41.41;-7.4728;1246.20;0.0147;-1.25E-05;0.2767;0.2591;0.2942;4.9207;-2923.50;3.4809;-1.3932E-02;7.4450E-06;121.295;0.8535;-2.2176E-03;2.5641E-06;0.1667;-7.2758E-05;-1.9070E-07;61.494;0.395;61.278;1.2440;5.11
10;4.56054;0.71508696;134.221;653.15;28.37;4.92E-04;272.81;0.257;0.372;320.37;205.25;41.42;-7.4883;1247.80;0.0148;-1.27E-05;0.2730;0.2574;0.2875;-5.5137;-3025.60;8.9840;-2.5597E-02;1.3823E-05;121.863;0.8159;-2.1402E-03;2.5029E-06;0.1613;-7.3356E-05;-1.9615E-07;64.270;0.411;60.484;1.2430;6.84
10;4.30459;0.66321725;134.221;662.00;29.30;4.89E-04;274.48;0.260;0.337;322.04;201.64;41.44;-7.3593;1239.20;0.0143;-1.21E-05;0.2745;0.2530;0.2880;7.1102;-3002.90;2.5743;-1.2918E-02;6.9705E-06;161.494;0.4723;-1.1584E-03;1.6052E-06;0.1673;-7.4599E-05;-1.8545E-07;62.180;0.399;65.650;1.2530;3.91
10;2.05983;0.20830447;134.221;663.00;28.80;4.88E-04;275.04;0.255;0.350;329.26;189.26;41.47;-7.2924;1235.10;0.0141;-1.20E-05;0.2733;0.2566;0.2857;37.1860;-3838.00;-9.8677;6.3157E-11;1.7741E-06;171.552;0.4670;-1.1485E-03;1.6111E-06;0.1689;-7.7438E-05;-1.8370E-07;66.070;0.427;64.340;1.2905;5.01
